TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	7969.282827	201.837129	25.000000	0.000000	10.613399	Infinity	0.000000	0.361435	1.000000	0.576634	0.961540	0.048263	1950.636583
CCGT_AMMONIA	0.000646	0.000016	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000644	0.630000	0.048263	0.000158
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	33616.351405	383.901942	25.000000	0.000000	52.611865	59.200000	0.000000	0.356408	1.000000	0.114707	1.000000	0.048263	109507.915025
WIND_ONSHORE	9788.199999	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.138692	1.000000	0.234842	1.000000	0.041639	6228.499999
WIND_OFFSHORE	27919.199986	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.140270	1.000000	0.395857	1.000000	0.041639	3737.099998
HYDRO_RIVER	580.165795	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.003196	1.000000	0.470533	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	2354.258442	151.328957	25.000000	0.000000	1.797418	Infinity	0.000000	0.218644	1.000000	0.844434	0.850000	0.048263	1841.131476
IND_COGEN_WOOD	0.000638	0.000023	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001128	0.850000	0.048263	0.000105
IND_COGEN_WASTE	0.000801	0.000030	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001216	0.850000	0.048263	0.000196
IND_BOILER_GAS	0.001271	0.000025	17.000000	0.000000	0.000022	Infinity	0.000000	0.000000	1.000000	0.025113	0.950000	0.067080	0.000266
IND_BOILER_WOOD	0.000551	0.000011	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.004407	0.900000	0.067080	0.000138
IND_BOILER_OIL	0.000434	0.000009	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.001395	0.950000	0.067080	0.000097
IND_BOILER_COAL	399.585405	7.991673	17.000000	0.000000	3.469226	Infinity	0.000000	0.449777	1.000000	0.900000	0.900000	0.067080	167.147290
IND_BOILER_WASTE	213.240007	4.264782	17.000000	0.000000	1.851363	Infinity	0.000000	0.240025	1.000000	0.900000	0.900000	0.067080	53.448854
IND_DIRECT_ELEC	2377.514175	10.785376	15.000000	0.000000	7.153861	Infinity	0.000000	0.091554	1.000000	0.088841	0.950000	0.074944	10.516176
DHN_HP_ELEC	2165.175760	73.418931	25.000000	0.000000	6.813443	Infinity	0.000000	1.000000	1.000000	0.663548	0.950000	0.048263	1190.921616
DHN_COGEN_GAS	0.001580	0.000046	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.005627	0.850000	0.048263	0.000665
DHN_COGEN_WOOD	0.000491	0.000018	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000636	0.850000	0.048263	0.000081
DHN_COGEN_WASTE	0.000635	0.000023	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000600	0.850000	0.048263	0.000155
DHN_COGEN_WET_BIOMASS	0.000664	0.000054	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002466	0.750000	0.048263	0.000532
DHN_COGEN_BIO_HYDROLYSIS	0.001433	0.000070	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002708	0.850000	0.074944	0.000220
DHN_BOILER_GAS	0.000102	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001138	0.950000	0.067080	0.000021
DHN_BOILER_WOOD	0.000173	0.000003	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000998	0.900000	0.067080	0.000043
DHN_BOILER_OIL	0.000090	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000698	0.950000	0.067080	0.000020
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000333	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000475	1.000000	0.041639	0.000213
DEC_HP_ELEC	8381.779946	349.477698	18.000000	0.000000	18.481203	Infinity	0.000000	0.994086	1.000000	0.452600	1.000000	0.063806	3047.365544
DEC_THHP_GAS	32.366081	0.945956	20.000000	0.000000	0.111231	Infinity	0.000000	0.005914	1.000000	0.447342	1.000000	0.058246	42.482566
DEC_COGEN_GAS	0.001131	0.000073	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002749	1.000000	0.058246	0.000885
DEC_COGEN_OIL	0.000761	0.000047	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000780	1.000000	0.058246	0.000642
DEC_ADVCOGEN_GAS	0.002090	0.000039	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001382	1.000000	0.058246	0.000811
DEC_ADVCOGEN_H2	0.001250	0.000023	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000321	1.000000	0.058246	0.000485
DEC_BOILER_GAS	0.000810	0.000024	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.002172	1.000000	0.067080	0.000108
DEC_BOILER_WOOD	0.000826	0.000029	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001504	1.000000	0.067080	0.000038
DEC_BOILER_OIL	0.000604	0.000036	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000991	1.000000	0.067080	0.000089
DEC_SOLAR	0.005508	0.000061	20.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.003863	1.000000	0.058246	0.001769
DEC_DIRECT_ELEC	0.000877	0.000004	15.000000	0.000000	0.000023	Infinity	0.000000	0.000000	1.000000	0.001030	1.000000	0.074944	0.000034
TRAMWAY_TROLLEY	4977.081400	99.541628	30.000000	0.000000	7.963330	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000332	0.000016	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001810	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000164	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000917	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	13463.627988	655.120121	15.000000	0.000000	21.440264	Infinity	0.000000	0.700000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000074	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000277	0.296800	0.074944	0.000000
TRAIN_PUB	0.000487	0.000018	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.500000	0.001087	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000065	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000131	0.051370	0.108434	0.000000
CAR_DIESEL	0.000062	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000161	0.051370	0.108434	0.000000
CAR_NG	0.000053	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000126	0.051370	0.108434	0.000000
CAR_METHANOL	0.000051	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000250	0.051370	0.108434	0.000000
CAR_HEV	0.000236	0.000018	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000403	0.051370	0.108434	0.000000
CAR_PHEV	0.021977	0.001619	10.000000	0.000000	0.000048	Infinity	0.000000	0.000000	1.000000	0.015169	0.051370	0.108434	0.000000
CAR_BEV	73381.905350	1769.645871	10.000000	0.000000	176.964587	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000078	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000174	0.051370	0.108434	0.000000
TRAIN_FREIGHT	807.210509	16.143514	40.000000	0.000000	7.730421	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
BOAT_FREIGHT_DIESEL	0.001045	0.000051	40.000000	0.000000	0.000013	Infinity	0.000000	0.000000	1.000000	0.015168	0.114160	0.033427	0.000000
BOAT_FREIGHT_NG	2184.551987	106.290003	40.000000	0.000000	27.828688	Infinity	0.000000	1.000000	1.000000	0.114160	0.114160	0.033427	0.000000
BOAT_FREIGHT_METHANOL	0.000006	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000313	0.114160	0.033427	0.000000
