Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	SFH_RENO	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 12 	 10							15.302656	0.000000																						-8.016718									-3.907305																					-0.038668														-2.218627													-0.353081																			-2.425933					2.209871																																								-0.552196	0.000000															0.000000	
 12 	 11							15.302656	0.000000																						-1.675016									-3.907305																					-0.034764														-2.535562													-0.353081																			-2.425933					2.209871																																								-6.580866	0.000000															0.000000	
 12 	 12							15.302656	0.000000																						0.000000									-3.907305																					-0.028909														-2.789126													-0.353081																			-2.425933					2.209871																																								-8.008173	0.000000															0.000000	
 12 	 13							15.302656	0.000000																						0.000000									-3.037815																					-0.029559														-2.535562													-0.353081																			-2.425933					2.209871																																								-9.130577	0.000000															0.000000	
 12 	 14							15.302656	0.000000																						0.000000									-3.907305																					-0.020461														-2.567261													-0.353081																			-2.425933					2.209871																																								-8.238486	0.000000															0.000000	
 12 	 15							15.302656	0.000000																						-5.949598									-3.907305																					-0.039134														-2.884210													-0.353081																			-2.425933					2.209871																																								-1.953266	0.000000															0.000000	
 12 	 16							15.302656	0.000000																						-7.815216									-3.907305																					0.000000														-3.010992													-0.353081																			-2.425933					2.209871																																								0.000000	0.000000															0.000000	
 12 	 17							15.302656	0.000000																						-11.482313									-3.907305																					-0.024024														-3.010992													-0.353081																			-2.425933					2.209871																																								0.000000	3.691121															0.000000	
 12 	 18							15.302656	0.000000																						-11.073909									-3.907305																					-0.024689														-2.218627													-0.353081																			-2.425933					2.209871																																								0.000000	2.491017															0.000000	
 12 	 19							15.302656	0.000000																						-9.216143									-3.907305																					-0.025335														-1.584730													-0.353081																			-2.425933					2.209871																																								0.000000	0.000000															0.000000	
 12 	 20							15.302656	0.000000																						-9.611855									-3.907305																					-0.025982														-1.188372													-0.353081																			-2.425933					2.209871																																								0.000000	0.000000															0.000000	
 12 	 21							15.302656	0.000000																						-9.985909									-3.907305																					-0.048501														-0.791798													-0.353081																			-2.425933					2.209871																																								0.000000	0.000000															0.000000	
 12 	 22							15.302656	0.000000																						-10.268779									-3.907305																					-0.050247														-0.507183													-0.353081																			-2.425933					2.209871																																								0.000000	0.000000															0.000000	
 12 	 23							15.302656	0.000000																						-9.866666									-3.907305																					-0.050897														-0.316989													-0.353081																			-2.425933					2.209871																																								-0.591656	0.000000															0.000000	
 12 	 24							15.302656	0.000000																						-8.625090									-3.907305																					-0.051548														-0.126796													-0.353081																			-2.425933					2.209871																																								-2.022775	0.000000															0.000000	
