TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	7968.141215	201.808216	25.000000	0.000000	10.611879	Infinity	0.000000	0.362327	1.000000	0.576650	0.961540	0.048263	1950.357151
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.630000	0.048263	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	33615.199428	383.888787	25.000000	0.000000	52.610062	59.200000	0.000000	0.354212	1.000000	0.113710	1.000000	0.048263	109504.162367
WIND_ONSHORE	9788.200000	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.144032	1.000000	0.243255	1.000000	0.041639	6228.500000
WIND_OFFSHORE	27919.200000	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.136276	1.000000	0.383592	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165800	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.003153	1.000000	0.463075	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	2354.196485	151.324975	25.000000	0.000000	1.797371	Infinity	0.000000	0.218641	1.000000	0.844444	0.850000	0.048263	1841.083023
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.950000	0.067080	0.000000
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.950000	0.067080	0.000000
IND_BOILER_COAL	399.585382	7.991673	17.000000	0.000000	3.469225	Infinity	0.000000	0.449777	1.000000	0.900000	0.900000	0.067080	167.147280
IND_BOILER_WASTE	213.239991	4.264781	17.000000	0.000000	1.851363	Infinity	0.000000	0.240025	1.000000	0.900000	0.900000	0.067080	53.448850
