TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
PV	11923.092188	136.162851	25.000000	0.000000	18.660446	59.200000	0.000000	1.000000	1.000000	0.105623	1.000000	0.048263	38840.412824
TRAFO_ML	0.000000	0.000000	75.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.022301	0.000000
TRAFO_LM	0.000000	0.000000	75.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.022301	0.000000
WIND_ONSHORE	9788.199998	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	1.000000	1.000000	0.242217	1.000000	0.041639	6228.499999
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
TRAFO_HM	0.000000	0.000000	70.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.023172	0.000000
TRAFO_MH	0.000000	0.000000	70.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.023172	0.000000
CCGT	2011.777251	50.952056	25.000000	0.000000	2.679262	Infinity	0.000000	0.433914	1.000000	0.631142	0.961540	0.048263	492.421512
CCGT_AMMONIA	0.000803	0.000020	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000860	0.630000	0.048263	0.000197
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
TRAFO_EH	0.000000	0.000000	65.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.024191	0.000000
WIND_OFFSHORE	24289.691504	168.995325	30.000000	0.000000	5.219997	6.000000	0.000000	0.551842	1.000000	0.411986	1.000000	0.041639	3251.275327
HYDRO_RIVER	580.165791	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.014245	1.000000	0.482723	1.000000	0.033427	145.224298
TRAFO_HE	0.000000	0.000000	65.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.024191	0.000000
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
IND_COGEN_GAS	3238.513809	208.167850	25.000000	0.000000	2.472525	Infinity	0.000000	0.290022	1.000000	0.814264	0.850000	0.048263	2532.657249
IND_COGEN_WOOD	0.000864	0.000032	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001806	0.850000	0.048263	0.000142
IND_COGEN_WASTE	0.001339	0.000049	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002925	0.850000	0.048263	0.000327
IND_BOILER_GAS	29.728780	0.595631	17.000000	0.000000	0.504819	Infinity	0.000000	0.003295	1.000000	0.045304	0.950000	0.067080	6.219368
IND_BOILER_WOOD	0.001073	0.000021	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.007415	0.900000	0.067080	0.000269
IND_BOILER_OIL	0.000539	0.000012	17.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.002078	0.950000	0.067080	0.000121
IND_BOILER_COAL	424.632793	8.492619	17.000000	0.000000	3.686689	Infinity	0.000000	0.449780	1.000000	0.846913	0.900000	0.067080	177.624657
IND_BOILER_WASTE	265.606943	5.312116	17.000000	0.000000	2.306016	Infinity	0.000000	0.240027	1.000000	0.722556	0.900000	0.067080	66.574687
IND_DIRECT_ELEC	344.999006	1.565056	15.000000	0.000000	1.038091	Infinity	0.000000	0.016876	1.000000	0.112850	0.950000	0.074944	1.525993
DHN_HP_ELEC	2095.099303	71.042709	25.000000	0.000000	6.592924	Infinity	0.000000	0.997793	1.000000	0.644554	0.950000	0.048263	1152.377139
DHN_COGEN_GAS	20.295399	0.593392	25.000000	0.000000	0.017392	Infinity	0.000000	0.002207	1.000000	0.540416	0.850000	0.048263	8.537157
DHN_COGEN_WOOD	0.000648	0.000024	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000970	0.850000	0.048263	0.000107
DHN_COGEN_WASTE	0.000920	0.000034	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001180	0.850000	0.048263	0.000225
DHN_COGEN_WET_BIOMASS	0.001324	0.000108	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.006759	0.750000	0.048263	0.001060
DHN_COGEN_BIO_HYDROLYSIS	0.002694	0.000132	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.005406	0.850000	0.074944	0.000414
DHN_BOILER_GAS	0.000131	0.000003	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001637	0.950000	0.067080	0.000027
DHN_BOILER_WOOD	0.000219	0.000004	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001469	0.900000	0.067080	0.000055
DHN_BOILER_OIL	0.000115	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001012	0.950000	0.067080	0.000026
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000548	0.000001	30.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000774	1.000000	0.041639	0.000350
DEC_HP_ELEC	0.015843	0.000661	18.000000	0.000000	0.000035	Infinity	0.000000	0.000002	1.000000	0.156526	1.000000	0.063806	0.005760
DEC_THHP_GAS	5266.548719	153.924289	20.000000	0.000000	18.099350	Infinity	0.000000	0.972358	1.000000	0.446685	1.000000	0.058246	6912.684557
DEC_COGEN_GAS	0.014908	0.000958	20.000000	0.000000	0.000011	Infinity	0.000000	0.000001	1.000000	0.051545	1.000000	0.058246	0.011659
DEC_COGEN_OIL	0.001111	0.000068	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001849	1.000000	0.058246	0.000937
DEC_ADVCOGEN_GAS	2813.484786	52.433010	20.000000	0.000000	0.497741	Infinity	0.000000	0.027639	1.000000	0.461701	1.000000	0.058246	1091.769533
DEC_ADVCOGEN_H2	0.001695	0.000032	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000534	1.000000	0.058246	0.000658
DEC_BOILER_GAS	0.000988	0.000030	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.003037	1.000000	0.067080	0.000131
DEC_BOILER_WOOD	0.001059	0.000037	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.002339	1.000000	0.067080	0.000048
DEC_BOILER_OIL	0.000741	0.000044	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001501	1.000000	0.067080	0.000110
DEC_SOLAR	0.010596	0.000118	20.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.006156	1.000000	0.058246	0.003404
DEC_DIRECT_ELEC	0.001031	0.000005	15.000000	0.000000	0.000027	Infinity	0.000000	0.000000	1.000000	0.001796	1.000000	0.074944	0.000040
TRAMWAY_TROLLEY	4977.081350	99.541627	30.000000	0.000000	7.963330	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000498	0.000024	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002629	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000290	0.000011	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001485	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	13463.627703	655.120107	15.000000	0.000000	21.440263	Infinity	0.000000	0.700000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000092	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000538	0.296800	0.074944	0.000000
TRAIN_PUB	0.000459	0.000017	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.500000	0.000867	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000139	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000246	0.051370	0.108434	0.000000
CAR_DIESEL	0.000082	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000245	0.051370	0.108434	0.000000
CAR_NG	0.000148	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000475	0.051370	0.108434	0.000000
CAR_METHANOL	0.000058	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000103	0.051370	0.108434	0.000000
CAR_HEV	0.000074	0.000006	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000230	0.051370	0.108434	0.000000
CAR_PHEV	0.028621	0.002108	10.000000	0.000000	0.000062	Infinity	0.000000	0.000000	1.000000	0.020826	0.051370	0.108434	0.000000
CAR_BEV	73381.899475	1769.645730	10.000000	0.000000	176.964573	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000267	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000389	0.051370	0.108434	0.000000
TRAIN_FREIGHT	807.210506	16.143514	40.000000	0.000000	7.730420	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
BOAT_FREIGHT_DIESEL	0.001197	0.000058	40.000000	0.000000	0.000015	Infinity	0.000000	0.000001	1.000000	0.017331	0.114160	0.033427	0.000000
BOAT_FREIGHT_NG	2184.551840	106.289996	40.000000	0.000000	27.828686	Infinity	0.000000	0.999999	1.000000	0.114160	0.114160	0.033427	0.000000
BOAT_FREIGHT_METHANOL	0.000010	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000212	0.114160	0.033427	0.000000
TRUCK_DIESEL	0.000924	0.000045	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.002247	0.092590	0.074944	0.000000
